id,detalle,precio
265481,ECOLOGICO NOTEX EST,"S/.2.130,00"
2144020401,DRIMER ZEN,"S/.800,00"
2915020012,FUTURPEDIC,"S/.1.585,00"
2147020401,DRIMER ZEN,"S/.2.395,00"
4916040001,SIMMONS ST. CHAPELLE,"S/.2.130,00"
2144020201,ESENCIA,"S/.1.160,00"
266332,RIZZOLI,"S/.1.585,00"
2147020201,ESENCIA,"S/.2.290,00"
267441,ORION,"S/.2.130,00"
2144021691,FIAMMA THERMOCONTROL,"S/.1.230,00"
266374,SILVER,"S/.1.585,00"
2147021601,FIAMMA THERMOCONTROL,"S/.2.490,00"
26544G,OMEGA JACKARD,"S/.2.125,00"
2125030101,VISCO,"S/.1.585,00"
2914020092,FIRM,"S/.1.220,00"
2915010098,RUNA,"S/.1.585,00"
267011,MICKEY,"S/.645,00"
2917020005,FIRM,"S/.2.340,00"
2126023191,ANTISTRESS,"S/.2.120,00"
2665AK,FLEXICUP,"S/.2.535,00"
4126041801,SIMMONS SWEET SLEEPER EURO SHERATON,"S/.2.120,00"
2914020013,FUTURPEDIC,"S/.1.250,00"
267373,TARENTO PT,"S/.1.585,00"
2917020006,FUTURPEDIC,"S/.2.295,00"
267425,SAN REMO,"S/.2.120,00"
266232,RIZZOLI,"S/.1.280,00"
2843C3,QUBO ALOE VERA,"S/.1.580,00"
458329,SIMMONS BEAUTY REST - SHERATON SWEET SLEEPER EURO,"S/.1.580,00"
26504C,SUPER FOAM,"S/.640,00"
266532,RIZZOLI,"S/.2.460,00"
2916010002,CARAL,"S/.2.115,00"
2144022601,SILHOUETTE,"S/.1.200,00"
2147022601,SILHOUETTE,"S/.2.605,00"
4126041201,SIMMONS FELICITY RECHARGE,"S/.2.115,00"
266274,SILVER,"S/.820,00"
284304,POCKET RAICES NAZCA,"S/.1.575,00"
266574,SILVER,"S/.2.470,00"
284444,HOTELERO 5 ESTRELLAS,"S/.2.115,00"
2662A7,TERRA LATEX FRESH,"S/.1.250,00"
2915023901,TERRA SOYAMBOO,"S/.1.575,00"
2665A7,TERRA LATEX FRESH,"S/.2.420,00"
2916210001,SAN MARINO PT,"S/.2.115,00"
2125040591,SIMMONS BEAUTYREST HYBRID,"S/.1.570,00"
266046,DRIMER,"S/.635,00"
458397,JACKARD GALAXY PT,"S/.1.570,00"
467301,MIRACOIL HILTON SUITE DREAMS,"S/.1.570,00"
2915010003,PT,"S/.1.570,00"
2124020401,ACQUA VISCO,"S/.1.080,00"
458326,SIMMONS BEAUTY REST - RECHARGE,"S/.1.570,00"
2127020401,ACQUA VISCO,"S/.2.290,00"
2844S4,SIMMONS BEAUTYREST PT AUDRINA LUX FIRM,"S/.2.115,00"
2124020991,ACTIPRO,"S/.1.110,00"
2843S5,SIMMONS WORLD CLASS PT JAELYN LUX FIRM,"S/.1.570,00"
2127020901,ACTIPRO,"S/.2.250,00"
267405,BELLISIMA AKTUAL,"S/.2.110,00"
2124021091,AERO AIRFRESH,"S/.1.270,00"
2915010021,URPI,"S/.1.570,00"
2127021001,AERO AIRFRESH,"S/.2.585,00"
2844170000,CONTINENTAL REPOSE,"S/.2.110,00"
2124020501,AERO LATEX,"S/.840,00"
284306,WARI KUELAP,"S/.1.570,00"
26535A,SUPER FOAM POLIALGODON,"S/.1.565,00"
2127020501,AERO LATEX,"S/.2.585,00"
2844B6,POCKET ANTISTRESS,"S/.2.110,00"
2124023191,ANTISTRESS,"S/.950,00"
2145020801,ACQUA CIRCULACION,"S/.1.565,00"
2127023101,ANTISTRESS,"S/.2.585,00"
267447,POCKET LATEX,"S/.2.110,00"
2124020301,BOTANIA,"S/.1.030,00"
2843620002,DRIMER OMEGA,"S/.1.565,00"
2127020301,BOTANIA,"S/.2.620,00"
2844B4,SILVER,"S/.2.110,00"
2914010010,CARAL,"S/.860,00"
2115030391,ENERGY,"S/.1.565,00"
2917010001,CARAL,"S/.2.435,00"
266432,RIZZOLI,"S/.2.105,00"
2124030701,DREAM,"S/.1.240,00"
2915020004,GEMINIS PT,"S/.1.565,00"
2127030701,DREAM,"S/.2.615,00"
2844A7,FIAMMA THERMOCONTROL,"S/.2.105,00"
2124030491,GRAVITY,"S/.880,00"
4915040003,SIMMONS SLEEP PLUSH,"S/.1.560,00"
2127030491,GRAVITY,"S/.2.325,00"
2126040791,SIMMONS BEAUTYREST RECHARGE PT,"S/.2.100,00"
2124022101,HOTEL CONCEPT,"S/.1.120,00"
284314,CONTINENTAL SIR REPOSE,"S/.1.560,00"
2127022101,HOTEL CONCEPT,"S/.2.495,00"
2126030101,VISCO,"S/.2.100,00"
2124022401,LATEX BAMBOO,"S/.850,00"
2125022401,LATEX BAMBOO,"S/.1.555,00"
2127022401,LATEX BAMBOO,"S/.2.515,00"
267446,OMEGA,"S/.2.100,00"
2127022501,LATEX FLEXICUP,"S/.2.525,00"
458424,SIMMONS BEAUTY REST - FELICITY RECHARGE,"S/.2.100,00"
2914020014,LATEX SILVER,"S/.990,00"
284343,TECHNODREAM ZENTRIX,"S/.1.555,00"
2917020007,LATEX SILVER,"S/.2.410,00"
2116023601,TERRA BAMBOO,"S/.2.100,00"
2914010012,NAZCA,"S/.1.210,00"
2843C4,DRIMER ALOE VERA,"S/.1.550,00"
2917010003,NAZCA,"S/.2.325,00"
2146020101,CROMO,"S/.2.095,00"
2124030201,OXYGEN,"S/.1.260,00"
