id,detalle,modelo,precio
2213014301,PAOLO,3 CUERPO,"S/.1.300,00"
270157,PARIS,1 CUERPO,"S/.840,00"
270257,PARIS,2 CUERPO,"S/.925,00"
270357,PARIS,3 CUERPO,"S/.1.325,00"
2702A2,PISSANO,2 CUERPO,"S/.1.215,00"
2703A2,PISSANO,3 CUERPO,"S/.1.615,00"
270179,PRAGA,1 CUERPO,"S/.605,00"
270279,PRAGA,2 CUERPO,"S/.945,00"
270186,PRAGA II,1 CUERPO,"S/.740,00"
270286,PRAGA II,2 CUERPO,"S/.1.320,00"
270386,PRAGA II,3 CUERPO,"S/.1.545,00"
2211014401,PROVENCE,1 CUERPO,"S/.665,00"
2212014401,PROVENCE,2 CUERPO,"S/.805,00"
2213014491,PROVENCE,3 CUERPO,"S/.1.120,00"
2701BO,QUAD,1 CUERPO,"S/.835,00"
2702BO,QUAD,2 CUERPO,"S/.760,00"
2703BO,QUAD,3 CUERPO,"S/.1.405,00"
2701C4,QUEBEC,1 CUERPO,"S/.880,00"
2702C4,QUEBEC,2 CUERPO,"S/.820,00"
2703C4,QUEBEC,3 CUERPO,"S/.1.560,00"
270189,RAUL,1 CUERPO,"S/.795,00"
270289,RAUL,2 CUERPO,"S/.780,00"
270389,RAUL,3 CUERPO,"S/.1.020,00"
270269,REAL,2 CUERPO,"S/.745,00"
218310,RECLINABLE ASHLEY,3 CUERPO,"S/.1.280,00"
270216,RIZZOLI  LAZIO,2 CUERPO,"S/.920,00"
270105,ROMA,1 CUERPO,"S/.600,00"
270205,ROMA,2 CUERPO,"S/.740,00"
270305,ROMA,3 CUERPO,"S/.1.145,00"
270127,SAFIRA,1 CUERPO,"S/.715,00"
270227,SAFIRA,2 CUERPO,"S/.1.250,00"
270327,SAFIRA,3 CUERPO,"S/.1.620,00"
2706AU,SECCIONAL ALTA 001 CHENILLE,3 CUERPO,"S/.1.140,00"
2706AS,SECCIONAL ALTA 002 PU,3 CUERPO,"S/.1.450,00"
409002,SEGELL,2 CUERPO,"S/.995,00"
2701AC,SICILIA,1 CUERPO,"S/.995,00"
2702AC,SICILIA,2 CUERPO,"S/.1.015,00"
2703AC,SICILIA,3 CUERPO,"S/.1.295,00"
2701AK,SICILIA TS - SA,1 CUERPO,"S/.745,00"
2702AK,SICILIA TS - SA,2 CUERPO,"S/.815,00"
